,ID,Age,Gender,Native_Language,Stimulus,Word,Reaction.time
0,5-06,19,Female,Non-English,2,Once,0.4440231519997724
1,5-06,19,Female,Non-English,2,upon,0.36763803200028633
2,5-06,19,Female,Non-English,2,a,0.3581703620002372
3,5-06,19,Female,Non-English,2,"time,",0.3395445810001547
4,5-06,19,Female,Non-English,2,a,0.35358697699984987
5,5-06,19,Female,Non-English,2,very,0.3251766429998497
6,5-06,19,Female,Non-English,2,long,0.36850189300002967
7,5-06,19,Female,Non-English,2,time,0.36145561900002576
8,5-06,19,Female,Non-English,2,ago,0.44167126199999984
9,5-06,19,Female,Non-English,2,"now,",0.3816709199995785
10,5-06,19,Female,Non-English,2,about,0.41183028500017826
11,5-06,19,Female,Non-English,2,last,0.409536947000106
12,5-06,19,Female,Non-English,2,"Friday,",0.4543041879996963
13,5-06,19,Female,Non-English,2,Winnie-the-Pooh,0.7447340869998698
14,5-06,19,Female,Non-English,2,lived,0.48343267800009926
15,5-06,19,Female,Non-English,2,in,0.389670575999844
16,5-06,19,Female,Non-English,2,a,0.3481753700002628
17,5-06,19,Female,Non-English,2,forest,0.3666196970002602
18,5-06,19,Female,Non-English,2,all,0.44385720600030254
19,5-06,19,Female,Non-English,2,by,0.45878108999977485
20,5-06,19,Female,Non-English,2,himself,0.7731475489999866
21,5-06,19,Female,Non-English,2,under,0.3873526679999486
22,5-06,19,Female,Non-English,2,the,0.5065983149997919
23,5-06,19,Female,Non-English,2,name,0.3345314769999277
24,5-06,19,Female,Non-English,2,of,0.37800711899990347
25,5-06,19,Female,Non-English,2,Sanders.,0.5789296890002333
26,5-06,19,Female,Non-English,2,One,0.6035255520000646
27,5-06,19,Female,Non-English,2,day,0.31894209399979445
28,5-06,19,Female,Non-English,2,when,0.35334056000010605
29,5-06,19,Female,Non-English,2,he,0.38970443799962595
30,5-06,19,Female,Non-English,2,was,0.31115086499994504
31,5-06,19,Female,Non-English,2,out,0.33762047399977746
32,5-06,19,Female,Non-English,2,"walking,",0.2633051789998717
33,5-06,19,Female,Non-English,2,he,0.2790734430000157
34,5-06,19,Female,Non-English,2,came,0.3417363389999082
35,5-06,19,Female,Non-English,2,to,0.2617580139999518
36,5-06,19,Female,Non-English,2,an,0.27384194699970976
37,5-06,19,Female,Non-English,2,open,0.26388832999964507
38,5-06,19,Female,Non-English,2,place,0.2914805770001294
39,5-06,19,Female,Non-English,2,in,0.2700285129999429
40,5-06,19,Female,Non-English,2,the,0.3078779229999782
41,5-06,19,Female,Non-English,2,middle,0.28838506300007793
42,5-06,19,Female,Non-English,2,of,0.29653509300032965
43,5-06,19,Female,Non-English,2,the,0.2520217470000716
44,5-06,19,Female,Non-English,2,"forest,",0.3196748509999452
45,5-06,19,Female,Non-English,2,and,0.4334973360000731
46,5-06,19,Female,Non-English,2,in,0.28372583999998824
47,5-06,19,Female,Non-English,2,the,0.30969375799986665
48,5-06,19,Female,Non-English,2,middle,0.27656961200000296
49,5-06,19,Female,Non-English,2,of,0.32089002300017455
50,5-06,19,Female,Non-English,2,this,0.2653891210002257
51,5-06,19,Female,Non-English,2,place,0.31464757100002316
52,5-06,19,Female,Non-English,2,was,0.31577553900024213
53,5-06,19,Female,Non-English,2,a,0.4851258260000577
54,5-06,19,Female,Non-English,2,large,0.254755269999805
55,5-06,19,Female,Non-English,2,"oak-tree,",0.4108417699999336
56,5-06,19,Female,Non-English,2,"and,",0.24982727399992655
57,5-06,19,Female,Non-English,2,from,0.2952296620001107
58,5-06,19,Female,Non-English,2,the,0.25753662499982966
59,5-06,19,Female,Non-English,2,top,0.3088906359998873
60,5-06,19,Female,Non-English,2,of,0.2850419490000604
61,5-06,19,Female,Non-English,2,the,0.3022360310001204
62,5-06,19,Female,Non-English,2,"tree,",0.3943230390000281
63,5-06,19,Female,Non-English,2,there,0.30559625400019286
64,5-06,19,Female,Non-English,2,came,0.308906178000143
65,5-06,19,Female,Non-English,2,a,0.3960164939999231
66,5-06,19,Female,Non-English,2,loud,0.27562038199994277
67,5-06,19,Female,Non-English,2,buzzing-noise.,0.34762967999995453
68,5-06,19,Female,Non-English,2,Winnie-the-Pooh,0.25188499200021397
69,5-06,19,Female,Non-English,2,sat,0.3794300419999672
70,5-06,19,Female,Non-English,2,down,0.3540014139998675
71,5-06,19,Female,Non-English,2,at,0.31267393900043317
72,5-06,19,Female,Non-English,2,the,0.2809094049998748
73,5-06,19,Female,Non-English,2,foot,0.2593909639999765
74,5-06,19,Female,Non-English,2,of,0.2434806109999954
75,5-06,19,Female,Non-English,2,the,0.3007266790000358
76,5-06,19,Female,Non-English,2,"tree,",0.3072039829999085
77,5-06,19,Female,Non-English,2,put,0.3304434910000964
78,5-06,19,Female,Non-English,2,his,0.2873595429996385
79,5-06,19,Female,Non-English,2,head,0.3554022729999815
80,5-06,19,Female,Non-English,2,between,0.25413680400015437
81,5-06,19,Female,Non-English,2,his,0.29443007700001544
82,5-06,19,Female,Non-English,2,"paws,",0.31323389899989706
83,5-06,19,Female,Non-English,2,and,0.2651799619998201
84,5-06,19,Female,Non-English,2,began,0.26754847700021855
85,5-06,19,Female,Non-English,2,to,0.3001515300002211
86,5-06,19,Female,Non-English,2,think.,0.28921694500013473
87,5-06,19,Female,Non-English,2,First,0.2879835409999032
88,5-06,19,Female,Non-English,2,of,0.3092549660000259
89,5-06,19,Female,Non-English,2,all,0.28567117100010364
90,5-06,19,Female,Non-English,2,he,0.37437971100007417
91,5-06,19,Female,Non-English,2,said,0.6429196050003156
92,5-06,19,Female,Non-English,2,to,0.3932268139997177
93,5-06,19,Female,Non-English,2,himself:,0.29432306600028824
94,5-06,19,Female,Non-English,2,That,0.31387662899987845
95,5-06,19,Female,Non-English,2,buzzing-noise,0.4377888440003517
96,5-06,19,Female,Non-English,2,means,0.3895611779998944
97,5-06,19,Female,Non-English,2,something.,0.3652544179999495
98,5-06,19,Female,Non-English,2,You,0.3594949620000989
99,5-06,19,Female,Non-English,2,don’t,0.34845098699997834
100,5-06,19,Female,Non-English,2,get,0.41119691199992303
101,5-06,19,Female,Non-English,2,a,0.28921790799995506
102,5-06,19,Female,Non-English,2,buzzing-noise,0.39387796999972124
103,5-06,19,Female,Non-English,2,like,0.4179289050002808
104,5-06,19,Female,Non-English,2,"that,",0.3329292009998426
105,5-06,19,Female,Non-English,2,just,0.3031585720000294
